Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Sinopipe,X06,SPHL.SI,41.822,0,,,Cyclical Consumer Products,36,,,,,,,,,,
Sinostar Pec,C9Q,SNSR.SI,95.36,687.311,5.86,3.36,Energy - Fossil Fuels,69,-5.7,-5.7,-29.05,-21.99,2.78,10.24,1.59,149.65,27.82,0.85
Sitra,5LE,SITR.SI,20.881,16.435,,,Applied Resources,61,54.55,21.43,41.67,41.67,-5.83,-7.43,,14.27,18.91,0.56
SK Jewellery,42G,SKJE.SI,47.813,138.774,7.37,5.88,Retailers,67,6.25,3.66,-13.27,-10.53,4.6,10.42,1.58,67.97,4.34,0.99
SLB Dev,1J0,SLBD.SI,105.908,37.939,30.05,,Real Estate,84,-3.33,-10.77,-4.92,-18.88,6.18,2.31,41.55,61.42,-66.91,1.02
Soilbuild Const,S7P,SOIL.SI,34.491,236.764,,,Industrial & Commercial Services,77,-2.38,-31.67,-31.67,-38.81,-3.86,-11.38,,65.31,13.51,0.81
SoilbuildBizReit,SV3U,SBSR.SI,492.922,89.883,17.08,,Real Estate,64.5,2.63,-21.21,-25.71,-34.91,27.91,3.3,,70.94,3.31,0.9
Soon Lian,5MD,SNLN.SI,5.94,31.139,7.31,,Mineral Resources,53,243.75,5.77,7.84,-8.33,2.61,2.79,3.28,29.35,-7.52,
Soup Restaurant,5KI,SRGL.SI,32.835,43.19,40.29,1.82,Cyclical Consumer Services,62,0,-20.29,-26.67,-37.14,1.76,7.26,3.26,0.15,-1.57,4.05
Southern Pkg,BQP,SOUT.SI,15.822,140.658,8.65,,Applied Resources,50,0,-25,-40.79,,1.3,1.67,1.08,51.14,-2.08,0.26
SP Corp,AWE,SPPS.SI,13.162,93.076,5.26,,Industrial & Commercial Services,75,4.17,-20.21,-26.47,-29.91,2.69,4.58,5.18,0,-31.75,0.3
Spackman,40E,SPAC.SI,12.056,28.48,,,Cyclical Consumer Services,68,11.11,-23.08,-28.57,-41.18,-17.09,-6.08,,9.51,-7.29,0.33
SPH,T39,SPRM.SI,2048.831,953.046,9.94,5.47,Cyclical Consumer Services,110,-15.79,-32.28,-41.55,-45.05,27.46,5.58,6.74,59.38,-1.52,1.15
SPHREIT,SK6U,SPHR.SI,2290.608,250.112,13.2,4.54,Real Estate,83.5,1.84,-17.82,-21.7,-20.19,68.95,6.19,13.27,45.07,15.44,1.1
Spindex Ind,564,SNEX.SI,92.292,158.049,6.42,4.13,Industrial Goods,51,6.67,-14.44,-18.37,-5.88,9.09,12.34,3.87,0,1.17,0.92
Spura Finance,S23,SBDS.SI,123.775,30.293,16.54,2.56,Banking & Investment Services,72,6.85,-9.83,-11.86,-14.29,35.29,2.9,14.32,0,9.1,0.55
Sri Trang Agro,NC2,,,,,,,61,,,,,,,,,,
ST Engineering,S63,STEG.SI,9960.76,7868.276,17.32,4.7,Industrial Goods,100,-7,-23.5,-22.76,-18.41,7.53,25.87,10.37,22.07,17.47,4.85
ST Group Food,DRX,STGR.SI,46.248,52.917,25.44,2.44,Cyclical Consumer Services,,-6,-23.27,-29.06,,4.12,10.69,6.56,23.14,,
Stamford Land,H07,SFLD.SI,274.037,203.777,8.64,2.86,Cyclical Consumer Services,70,-5.41,-25.53,-30,-26.32,16.9,6.61,6.14,20.7,-54.05,0.82
Stamford Tyres,S29,STAS.SI,44.516,220.411,,5.32,Automobiles & Auto Parts,62,-1.05,-8.29,-20,-30.37,-0.18,-0.33,5.65,74.96,-12.59,0.58
